,1980,1985,1990,1995,2000,2008,2009,2010,2011,2012,2013,2014,2015,2018
Paraguay,0.5,0.4,0.5,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1.0,1.1
Peru,1.4,1.0,1.0,1.0,1.2,1.4,1.8,2.0,1.7,1.8,1.9,2.0,1.7,1.8
Philippines,0.8,0.5,0.7,0.9,0.9,0.9,0.8,0.9,0.9,0.9,1.0,1.1,1.2,1.4
Poland,13.1,12.0,9.7,8.9,7.8,8.3,7.8,8.3,8.3,7.9,7.9,7.5,8.0,8.8
Portugal,2.8,2.7,4.2,5.2,6.1,5.3,5.1,4.6,4.5,4.4,4.3,4.3,5.0,5.1
Puerto Rico,..,..,0.6,..,..,..,..,..,..,..,..,..,0.8,0.9
Qatar,58.5,33.4,24.7,61.9,58.6,46.7,43.5,40.7,41.2,44.6,37.8,45.4,39.4,38.2
Réunion,..,..,1.7,..,..,..,..,..,..,..,..,..,3.1,3.4
Romania,8.8,8.5,7.5,5.6,4.0,4.7,4.0,3.9,4.2,4.1,3.6,3.5,4.0,4.1
Russia,..,..,..,11.0,10.6,12.0,11.0,11.7,12.3,12.8,12.4,11.9,11.8,12.1
Rwanda,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Samoa,0.6,0.7,0.6,0.7,0.8,1.0,1.0,1.0,1.1,1.0,1.0,1.0,0.6,0.7
San Marino,..,..,..,..,..,..,..,..,..,..,..,..,6.0,5.8
São Tomé and Príncipe,0.4,0.5,0.4,0.4,0.3,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7
Saudi Arabia,17.4,13.1,11.4,12.6,14.3,16.6,17.6,18.9,17.7,19.4,18.1,19.5,19.3,18.6
Senegal,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.7
Serbia,..,..,..,..,..,7.1,6.3,6.3,6.8,6.1,6.3,5.3,6.0,6.3
Seychelles,1.5,2.3,2.2,2.6,7.1,8.0,6.0,4.9,3.9,5.0,4.5,5.4,9.5,10.3
Sierra Leone,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
Singapore,13.0,12.2,14.6,12.0,12.2,7.5,11.2,11.0,8.7,6.8,10.3,10.3,9.3,9.7
Sint Maarten,..,..,..,..,..,..,..,..,..,20.1,19.5,19.5,..,..
Slovakia,..,..,..,7.9,6.7,7.0,6.3,6.7,6.4,6.1,6.1,5.7,6.4,7.0
Slovenia,..,..,..,7.2,7.2,8.6,7.5,7.5,7.4,7.2,6.9,6.2,6.9,7.5
Solomon Islands,0.4,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2
Somalia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1
South Africa,7.7,9.6,8.3,8.6,8.3,9.9,9.9,9.2,9.0,8.8,8.7,9.0,8.6,8.3
South Sudan,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.4,0.4
Spain,5.7,5.2,5.6,6.1,7.3,7.2,6.2,5.8,5.8,5.7,5.1,5.0,5.9,6.0
Sri Lanka,0.2,0.2,0.2,0.3,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1.0,1.1
"Saint Helena, Ascension and Tristan da Cunha",..,..,1.7,..,..,..,..,..,..,..,..,..,3.7,4.4
Saint Kitts and Nevis,1.2,1.2,2.6,3.0,3.8,4.3,4.4,4.3,4.4,4.2,4.2,4.3,4.4,4.4
Saint Lucia,1.0,1.0,1.2,2.1,2.1,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.1,2.1
Saint Pierre and Miquelon,..,..,23.6,..,..,..,..,..,..,..,..,..,12.0,12.5
Saint Vincent and the Grenadines,0.4,0.6,0.8,1.2,1.4,2.1,2.9,2.0,1.8,2.3,1.9,1.9,1.6,1.7
Sudan,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,..,0.4,0.4
Suriname,6.5,4.3,4.3,4.7,4.6,3.8,3.8,4.6,3.7,4.2,3.5,3.6,3.8,4.0
Sweden,8.6,7.5,6.1,6.2,5.6,5.3,4.6,5.5,5.5,4.9,4.7,4.5,4.5,4.5
Switzerland,6.4,6.2,6.3,5.6,5.4,5.3,5.4,5.0,4.7,4.7,5.0,4.3,4.8,4.8
Syria,2.3,2.8,3.0,2.9,3.1,3.3,3.0,2.9,2.7,2.2,1.8,1.6,1.6,1.6
Taiwan,..,..,6.1,..,..,..,..,..,..,..,..,..,11.3,12.0
Tajikistan,..,..,..,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.7
Tanzania,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Thailand,0.8,0.9,1.6,2.7,2.9,3.8,4.0,4.2,4.1,4.4,4.4,4.6,4.0,4.1
Timor-Leste,..,..,..,..,..,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.2,0.2
Togo,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4
Tonga,0.4,0.5,0.8,1.0,1.0,1.2,1.3,1.1,1.0,1.0,1.1,1.1,1.1,1.1
Trinidad and Tobago,15.6,17.7,13.9,13.6,18.8,33.7,34.0,36.1,35.2,33.9,34.5,34.2,26.7,26.2
Tunisia,1.5,1.6,1.6,1.7,2.1,2.4,2.4,2.6,2.4,2.5,2.5,2.6,2.7,2.8
Turkey,1.7,2.2,2.7,2.9,3.4,4.0,3.9,4.1,4.4,4.4,4.3,4.5,4.7,5.1
Turkmenistan,..,..,..,8.1,8.3,11.5,10.1,11.3,12.1,12.3,12.4,12.5,13.4,14.4
Turks and Caicos Islands,..,..,2.5,3.1,3.7,6.1,5.9,6.2,6.0,6.1,6.0,6.1,4.8,4.7
Tuvalu,..,..,0.8,0.8,0.8,1.1,1.1,0.7,0.7,1.0,1.0,1.0,..,..
Uganda,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ukraine,..,..,..,8.7,6.5,6.7,5.6,6.6,6.3,6.5,6.0,5.0,4.8,4.5
United Arab Emirates,35.4,35.9,28.0,28.8,35.7,22.8,21.9,19.4,19.1,19.8,19.0,23.3,22.1,22.4
United Kingdom,10.3,9.9,9.7,9.3,9.2,8.4,7.6,7.9,7.1,7.4,7.1,6.5,6.3,5.6
United States,20.8,18.9,19.3,19.3,20.2,18.5,17.2,17.4,17.0,16.3,16.3,16.5,16.3,16.1
Uruguay,2.0,1.1,1.3,1.4,1.6,2.5,2.4,1.9,2.3,2.6,2.2,2.0,2.0,2.0
Uzbekistan,..,..,..,4.5,4.9,4.5,3.9,3.6,3.9,3.9,3.4,3.4,3.4,3.1
Vanuatu,0.5,0.9,0.5,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.6,0.3,0.3
Venezuela,5.9,5.8,6.2,6.0,6.2,6.4,6.3,6.5,6.0,6.6,6.1,6.0,5.1,3.7
Vietnam,0.3,0.3,0.3,0.4,0.7,1.4,1.5,1.6,1.7,1.6,1.6,1.8,2.2,2.8
United States Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,..,..,..,..,0.3,0.6,0.6,0.5,0.6,0.5,0.6,..,..,..
Yemen,0.4,0.9,0.8,0.7,0.8,1.0,1.1,1.0,0.8,0.7,1.0,0.9,0.5,0.4
Zambia,0.6,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
Zimbabwe,1.3,1.2,1.5,1.3,1.1,0.6,0.4,0.6,0.7,0.5,0.8,0.8,0.8,0.8
